date,open,high,low,close,volume,value,symbol
07-09-2007,6839.9,6922.6,6820.65,6842.95,10515414,688.56,NIFTY BANK
10-09-2007,6787.65,6883,6740.7,6870.35,6435346,440.77,NIFTY BANK
11-09-2007,6903.15,6915.35,6805,6815.6,6362084,461.1,NIFTY BANK
12-09-2007,6837.45,6875.95,6773.65,6784.4,6734469,419.31,NIFTY BANK
13-09-2007,6789.3,6912.05,6789.3,6904.2,10480568,805.01,NIFTY BANK
14-09-2007,6941.9,7062.9,6898.7,6912.15,14476118,1033.96,NIFTY BANK
17-09-2007,6898,6977.2,6843,6897.1,5817404,415.15,NIFTY BANK
18-09-2007,6921.15,7078.95,6883.6,7059.65,10376047,785.75,NIFTY BANK
19-09-2007,7111,7419.35,7111,7401.85,18727572,1418.79,NIFTY BANK
20-09-2007,7404.95,7462.9,7343.6,7390.15,9870618,813.13,NIFTY BANK
21-09-2007,7378.3,7506.35,7367.15,7464.5,8653594,613.03,NIFTY BANK
24-09-2007,7514.4,7661.05,7514.4,7650.9,12193562,888.85,NIFTY BANK
25-09-2007,7658.5,7694.25,7490.2,7629.15,8998650,696.67,NIFTY BANK
26-09-2007,7647.1,7829.85,7591.8,7755.9,12887012,1098.13,NIFTY BANK
27-09-2007,7804.55,7866.5,7747.1,7833.65,13890432,1218.36,NIFTY BANK
28-09-2007,7838.25,8082.85,7836.05,8042.2,14519648,1333.31,NIFTY BANK
01-10-2007,8008.55,8085.15,7913.3,7987.5,15269311,1116.18,NIFTY BANK
03-10-2007,8029.8,8235.8,7820.25,8097.9,16643646,1305.04,NIFTY BANK
04-10-2007,8083.3,8086.7,7828.65,8035.9,12071277,1068.58,NIFTY BANK
05-10-2007,8038.1,8066.55,7789.7,7845.25,9151805,814.78,NIFTY BANK
08-10-2007,7853.15,7935.45,7516.45,7626.4,8005301,734.86,NIFTY BANK
09-10-2007,7580.9,7916.45,7535.05,7895.85,11767156,1014.21,NIFTY BANK
10-10-2007,7960.65,8081.05,7907.35,8030.65,13993104,1113.77,NIFTY BANK
11-10-2007,8054.3,8177.75,8005.5,8158.8,7678977,655.04,NIFTY BANK
12-10-2007,8093.65,8132.1,7889.8,7934,10882920,788.05,NIFTY BANK
15-10-2007,7962.55,8306.35,7962.55,8286.3,11148721,1070.91,NIFTY BANK
16-10-2007,8361.4,8491.65,8240.3,8452.2,15503406,1455.31,NIFTY BANK
17-10-2007,8071.55,8218.1,7641.5,8099.9,12262046,1141,NIFTY BANK
18-10-2007,8055.15,8192.45,7519.7,7608.75,15138441,1407.9,NIFTY BANK
19-10-2007,7637.4,7718.9,7279.3,7423.8,17613454,1339.03,NIFTY BANK
22-10-2007,7374.35,7621.65,7289.2,7568,11884062,1031.22,NIFTY BANK
23-10-2007,7621.05,8118.75,7621.05,8101.1,16010762,1165.79,NIFTY BANK
24-10-2007,8167.95,8276.65,8058.55,8228.65,17120181,1351.33,NIFTY BANK
25-10-2007,8228.2,8528.25,8185.55,8428.65,22560452,1828.78,NIFTY BANK
26-10-2007,8426.4,8804.9,8257.05,8749.9,14045123,1277.82,NIFTY BANK
29-10-2007,8918.05,9122.35,8865.65,9000.75,14939568,1475.28,NIFTY BANK
30-10-2007,9024.55,9237.8,8832.5,8934.15,31076990,2244.92,NIFTY BANK
31-10-2007,8906.3,9116.8,8839.4,9013.15,13491371,1027.78,NIFTY BANK
01-11-2007,9220.4,9358,9032.7,9198.6,23970671,1847.37,NIFTY BANK
02-11-2007,8953.4,9610.7,8898.2,9560.7,16146049,1284.26,NIFTY BANK
05-11-2007,9549.8,9692.5,9346.25,9397.55,20489175,1847.14,NIFTY BANK
06-11-2007,9383.55,9550.65,9129.85,9216.3,10338959,1020.71,NIFTY BANK
07-11-2007,9215.4,9388.05,9049.65,9090.2,10668551,1114.94,NIFTY BANK
08-11-2007,9090.8,9090.8,8816.95,8876.25,11272695,1102.85,NIFTY BANK
09-11-2007,8887.45,9029.4,8671.4,8760.75,1163813,113.18,NIFTY BANK
12-11-2007,8596.15,8819.9,8429.35,8758.2,13987787,1203.67,NIFTY BANK
13-11-2007,8761.35,9149,8642.85,9060,12641075,1260.21,NIFTY BANK
14-11-2007,9230.65,9651.85,9230.65,9613.05,14945725,1302.26,NIFTY BANK
15-11-2007,9560.2,9601.45,9422.35,9454.7,8458958,821.81,NIFTY BANK
16-11-2007,9476.85,9538.65,9272.35,9474.15,9087150,911.18,NIFTY BANK
19-11-2007,9541.1,9595.45,9367.85,9396.25,14321125,1241.69,NIFTY BANK
20-11-2007,9356.4,9574.85,9210.1,9277.85,11156247,1001.81,NIFTY BANK
21-11-2007,9272.2,9291.65,8766.35,8829.8,10654039,967.15,NIFTY BANK
22-11-2007,8835.25,9084.2,8650,8998.8,12269272,1219.63,NIFTY BANK
23-11-2007,9051.75,9127.6,8821.15,8977.9,9710491,863.13,NIFTY BANK
26-11-2007,9136.05,9255.05,9093.4,9122.45,9546098,932.32,NIFTY BANK
27-11-2007,9087.6,9098.95,8977.95,9070.75,8064554,837.67,NIFTY BANK
28-11-2007,9043.6,9216.15,8938.1,8970.85,9552490,922.79,NIFTY BANK
29-11-2007,9124.8,9273.25,9063.25,9124.4,10952413,1063.85,NIFTY BANK
30-11-2007,9230.8,9437.95,9185,9375.75,10287408,1052.87,NIFTY BANK
03-12-2007,9391.2,9466.2,9384.35,9397.55,9422781,959.77,NIFTY BANK
04-12-2007,9404.15,9452.7,9341.05,9367.1,9063812,811.47,NIFTY BANK
05-12-2007,9373.45,9605.25,9373.45,9581.3,14452292,1245.6,NIFTY BANK
06-12-2007,9644.8,9759.7,9559.75,9620.15,10950078,964.64,NIFTY BANK
07-12-2007,9677.85,9804.55,9605.45,9796.1,10172852,989.63,NIFTY BANK
10-12-2007,9800.2,9889.3,9723.6,9864.6,11140435,874.54,NIFTY BANK
11-12-2007,9961.65,10124.75,9899.95,10090.7,12135502,950.67,NIFTY BANK
12-12-2007,9951.25,10086.6,9891.25,10056.7,11761149,1022.88,NIFTY BANK
13-12-2007,10088.4,10123.2,9891.9,9920.45,10985437,878.42,NIFTY BANK
14-12-2007,9886.85,9948.95,9776.8,9803.15,8318263,853.51,NIFTY BANK
17-12-2007,9790.55,9792.15,9362.4,9426.7,7011890,687.64,NIFTY BANK
18-12-2007,9507.9,9507.9,9225.45,9279.2,9094726,865.7,NIFTY BANK
19-12-2007,9363.95,9446,9125.45,9240.35,7744291,765.89,NIFTY BANK
20-12-2007,9275.65,9332.85,9205.35,9245.45,6152071,709.06,NIFTY BANK
24-12-2007,9316.45,9581.1,9316.45,9563.55,6789353,694.99,NIFTY BANK
26-12-2007,9545.7,9772,9545.7,9755.2,5626619,509.87,NIFTY BANK
27-12-2007,9810,9842.65,9746.8,9785.05,9250159,845.62,NIFTY BANK
28-12-2007,9742.05,9840.35,9625.3,9828.35,6320960,544.37,NIFTY BANK
31-12-2007,9861.7,9914.55,9790.4,9863.45,5934695,503.38,NIFTY BANK
01-01-2008,9819.5,9927.4,9813.95,9905.25,4800796,368.47,NIFTY BANK
02-01-2008,10103.35,10333.3,9862.15,10250.85,16132598,1250.06,NIFTY BANK
03-01-2008,10164,10265.6,10070.8,10100.7,12126962,985.94,NIFTY BANK
04-01-2008,10288.05,10326.25,10120.9,10233.2,9086565,812.34,NIFTY BANK
07-01-2008,9983.1,10482.4,9948.35,10391.1,14077464,1553.62,NIFTY BANK
08-01-2008,10463.85,10558.3,10244.9,10355.6,13186656,1486.64,NIFTY BANK
09-01-2008,10355.05,10495.3,10232.55,10306.45,15180883,1466.57,NIFTY BANK
10-01-2008,10442.3,10624.2,10239.35,10266.85,17219890,1861.02,NIFTY BANK
11-01-2008,10295.7,10634.2,10295.7,10561.55,14085865,1471.84,NIFTY BANK
14-01-2008,10614.85,10774.15,10525.7,10698.35,16413678,1833.41,NIFTY BANK
15-01-2008,10680,10755.7,10433.95,10465.7,13928586,1557.24,NIFTY BANK
16-01-2008,10390.45,10397.3,10038.95,10346.95,18160427,1984.57,NIFTY BANK
17-01-2008,10404.7,10420.25,10123.7,10261.5,15964263,1635.01,NIFTY BANK
18-01-2008,10168.25,10215.3,9648.45,9739.9,17061445,1710,NIFTY BANK
21-01-2008,9671.4,9701.1,8504.65,9038.95,18326588,1989.61,NIFTY BANK
22-01-2008,8663.7,9015.8,7958.95,8682.45,18012851,1713.35,NIFTY BANK
23-01-2008,9021.5,9501.55,8889.6,9259.2,19197218,1804.21,NIFTY BANK
24-01-2008,9369.1,9630.55,8960.2,9133.85,17734431,1670.39,NIFTY BANK
25-01-2008,9170.35,9827.3,9170.35,9752.25,13248968,1291.18,NIFTY BANK
28-01-2008,9748.35,9937.9,9313.6,9901.9,8947193,856.77,NIFTY BANK
29-01-2008,9933.2,10113.35,9420.75,9569.6,13418825,1194.61,NIFTY BANK
30-01-2008,9635.35,9635.35,9309.8,9404.15,10425722,848.33,NIFTY BANK
31-01-2008,9442.2,9505.35,9147.25,9226.25,18033762,1489.6,NIFTY BANK
01-02-2008,9320.25,9379.05,9002.2,9327.05,12502764,1197.68,NIFTY BANK
04-02-2008,9444.4,9708.6,9424.2,9561.5,11027252,902,NIFTY BANK
05-02-2008,9577.3,9577.3,9363.35,9397.8,8301162,734.65,NIFTY BANK
06-02-2008,9169.55,9256.05,9052.35,9185.65,7590020,751.62,NIFTY BANK
07-02-2008,9225.3,9283.35,8925.9,8960.45,10245908,1021.84,NIFTY BANK
08-02-2008,8976.6,8999.95,8624.75,8817,10936229,1010.14,NIFTY BANK
11-02-2008,8841.2,8879.3,8216.9,8419.25,12065863,1079.59,NIFTY BANK
12-02-2008,8586,8637.9,8406.25,8512.35,8151402,747.89,NIFTY BANK
13-02-2008,8598.25,8805.55,8564.65,8748.75,8997623,807.51,NIFTY BANK
14-02-2008,8911.6,9163.2,8911.6,9125.2,9823395,939.76,NIFTY BANK
15-02-2008,9059.2,9403.7,8951.1,9380.05,9869726,981.9,NIFTY BANK
18-02-2008,9411.25,9518.35,9320.4,9404.2,7841877,694.97,NIFTY BANK
19-02-2008,9438.2,9538.7,9384.95,9423.45,9192112,790.73,NIFTY BANK
20-02-2008,9215.45,9346.05,9056.1,9129.1,9031521,828.44,NIFTY BANK
21-02-2008,9143.8,9260.1,8768.15,8946.2,10309467,745.21,NIFTY BANK
22-02-2008,8922.15,8922.15,8642,8685.1,8227494,662.85,NIFTY BANK
25-02-2008,8715.8,8756,8399.2,8666.5,9897255,881.59,NIFTY BANK
26-02-2008,8704.35,8810.15,8691.1,8742.25,5978603,517.38,NIFTY BANK
